Code,Name,Market,Marcap_억원,Stocks
282330,BGF리테일,KOSPI,22832,17283906
229640,LS에코에너지,KOSPI,22724,30624879
00680K,미래에셋증권2우B,KOSPI,22632,136500000
082920,비츠로셀,KOSDAQ,22556,45339477
095610,테스,KOSDAQ,22458,19360000
083650,비에이치아이,KOSDAQ,22156,30944375
058610,에스피지,KOSDAQ,22155,22177360
007070,GS리테일,KOSPI,22072,83607415
069960,현대백화점,KOSPI,21975,21564912
008770,호텔신라,KOSPI,21861,39248121
018670,SK가스,KOSPI,21755,9257244
001430,세아베스틸지주,KOSPI,21553,35862119
008930,한미사이언스,KOSPI,21509,68391550
279570,케이뱅크,KOSPI,21502,405695151
030000,제일기획,KOSPI,21467,115041225
000155,두산우,KOSPI,21341,3996462
000240,한국앤컴퍼니,KOSPI,21218,94935240
005440,현대지에프홀딩스,KOSPI,21187,155904301
035900,JYP Ent.,KOSDAQ GLOBAL,21071,35532492
0009K0,에임드바이오,KOSDAQ,21050,64671161
007810,코리아써키트,KOSPI,21009,23982620
068760,셀트리온제약,KOSDAQ,20936,44402332
011210,현대위아,KOSPI,20804,27195083
140410,메지온,KOSDAQ,20788,30392167
081660,미스토홀딩스,KOSPI,20785,53091840
120110,코오롱인더,KOSPI,20723,29946032
347700,스피어,KOSDAQ,20656,50814305
161890,한국콜마,KOSPI,20607,23605077
112610,씨에스윈드,KOSPI,20580,42171403
078600,대주전자재료,KOSDAQ,20406,15577468
009420,한올바이오파마,KOSPI,20165,52240638
322000,HD현대에너지솔루션,KOSPI,19813,11200000
000120,CJ대한통운,KOSPI,19619,22812344
192820,코스맥스,KOSPI,19487,11349509
041510,에스엠,KOSDAQ GLOBAL,19048,22894690
323280,태성,KOSDAQ,18842,30537980
030530,원익홀딩스,KOSDAQ,18769,77237981
097230,HJ중공업,KOSPI,18646,90295344
027360,아주IB투자,KOSDAQ,18414,121145406
085620,미래에셋생명,KOSPI,18398,135180000
002790,아모레퍼시픽홀딩스,KOSPI,18082,76458180
017960,한국카본,KOSPI,17853,52278600
439960,코스모로보틱스,KOSDAQ,17820,32108906
023590,다우기술,KOSPI,17683,43287312
089030,테크윙,KOSDAQ,17526,37053645
476830,알지노믹스,KOSDAQ,17431,13933842
140860,파크시스템스,KOSDAQ GLOBAL,17319,6997557
462870,시프트업,KOSPI,16892,58654340
060370,LS마린솔루션,KOSDAQ,16847,52238854
395400,SK리츠,KOSPI,16827,301017620
001120,LX인터내셔널,KOSPI,16589,38760000
298020,효성티앤씨,KOSPI,16337,4327682
290650,엘앤씨바이오,KOSDAQ,16263,26969704
077970,STX엔진,KOSPI,16220,40148063
437730,삼현,KOSDAQ,16107,31707567
361610,SK아이이테크놀로지,KOSPI,15711,81787100
001740,SK네트웍스,KOSPI,15666,200593889
